record_id,record_type,priority_label,task_id,source_task_id,target_task_id,onet_task_text,target_task_text,relation_type,dependency_strength,confidence,evidence_count,review_reason,DAE,OC,IC,SE,accept_or_reject,reason,prompt_change_needed,weight_change_needed,notes
dependency_T12_T11,task_dependency,high,T12,T12,T11,Perform risk assessments to develop response strategies.,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",informs,4,0.94,2,strong_edge,80.0,68.75,19.43,15.54,,,,,
dependency_T12_T13,task_dependency,high,T12,T12,T13,Perform risk assessments to develop response strategies.,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",informs,3,0.86,2,strong_edge,80.0,68.75,19.43,15.54,,,,,
dependency_T13_T06,task_dependency,high,T13,T13,T06,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.","Initiate, review, or approve modifications to project plans.",informs,3,0.84,2,strong_edge,80.0,43.75,54.51,43.61,,,,,
dependency_T15_T01,task_dependency,high,T15,T15,T01,Develop and manage annual budgets for information technology projects.,"Manage project execution to ensure adherence to budget, schedule, and scope.",constrains,3,0.9,2,strong_edge,80.0,81.25,20.83,16.66,,,,,
dependency_T15_T13,task_dependency,high,T15,T15,T13,Develop and manage annual budgets for information technology projects.,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",informs,3,0.89,1,strong_edge|thin_evidence,80.0,81.25,20.83,16.66,,,,,
dependency_T16_T07,task_dependency,high,T16,T16,T07,Establish and execute a project communication plan.,Schedule and facilitate meetings related to information technology projects.,enables,3,0.91,1,strong_edge|thin_evidence,80.0,62.5,29.93,23.94,,,,,
dependency_T16_T13,task_dependency,high,T16,T16,T13,Establish and execute a project communication plan.,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",informs,4,0.93,2,strong_edge,80.0,62.5,29.93,23.94,,,,,
dependency_T17_T01,task_dependency,high,T17,T17,T01,Develop and manage work breakdown structure (WBS) of information technology projects.,"Manage project execution to ensure adherence to budget, schedule, and scope.",enables,4,0.95,2,strong_edge,70.0,56.25,31.77,22.24,,,,,
dependency_T17_T03,task_dependency,high,T17,T17,T03,Develop and manage work breakdown structure (WBS) of information technology projects.,Monitor or track project milestones and deliverables.,enables,3,0.9,1,strong_edge|thin_evidence,70.0,56.25,31.77,22.24,,,,,
dependency_T17_T10,task_dependency,high,T17,T17,T10,Develop and manage work breakdown structure (WBS) of information technology projects.,Identify need for initial or supplemental project resources.,enables,3,0.88,2,strong_edge,70.0,56.25,31.77,22.24,,,,,
dependency_T17_T20,task_dependency,high,T17,T17,T20,Develop and manage work breakdown structure (WBS) of information technology projects.,"Assign duties, responsibilities, and spans of authority to project personnel.",enables,3,0.87,1,strong_edge|thin_evidence,70.0,56.25,31.77,22.24,,,,,
dependency_T19_T20,task_dependency,high,T19,T19,T20,Coordinate recruitment or selection of project personnel.,"Assign duties, responsibilities, and spans of authority to project personnel.",enables,3,0.85,1,strong_edge|thin_evidence,65.0,75.0,14.52,9.44,,,,,
dependency_T20_T01,task_dependency,high,T20,T20,T01,"Assign duties, responsibilities, and spans of authority to project personnel.","Manage project execution to ensure adherence to budget, schedule, and scope.",enables,3,0.87,1,strong_edge|thin_evidence,60.0,93.75,23.0,13.8,,,,,
dependency_T20_T08,task_dependency,high,T20,T20,T08,"Assign duties, responsibilities, and spans of authority to project personnel.",Direct or coordinate activities of project personnel.,enables,4,0.89,2,strong_edge,60.0,93.75,23.0,13.8,,,,,
dependency_T21_T01,task_dependency,high,T21,T21,T01,Negotiate with project stakeholders or suppliers to obtain resources or materials.,"Manage project execution to ensure adherence to budget, schedule, and scope.",enables,3,0.84,2,strong_edge,50.0,93.75,13.9,6.95,,,,,
dependency_T01_T02,task_dependency,medium,T01,T01,T02,"Manage project execution to ensure adherence to budget, schedule, and scope.",Confer with project personnel to identify and resolve problems.,none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T05,task_dependency,medium,T01,T01,T05,"Manage project execution to ensure adherence to budget, schedule, and scope.","Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T06,task_dependency,medium,T01,T01,T06,"Manage project execution to ensure adherence to budget, schedule, and scope.","Initiate, review, or approve modifications to project plans.",informs,2,0.79,1,thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T07,task_dependency,medium,T01,T01,T07,"Manage project execution to ensure adherence to budget, schedule, and scope.",Schedule and facilitate meetings related to information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T08,task_dependency,medium,T01,T01,T08,"Manage project execution to ensure adherence to budget, schedule, and scope.",Direct or coordinate activities of project personnel.,none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T09,task_dependency,medium,T01,T01,T09,"Manage project execution to ensure adherence to budget, schedule, and scope.",Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T10,task_dependency,medium,T01,T01,T10,"Manage project execution to ensure adherence to budget, schedule, and scope.",Identify need for initial or supplemental project resources.,none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T11,task_dependency,medium,T01,T01,T11,"Manage project execution to ensure adherence to budget, schedule, and scope.","Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T12,task_dependency,medium,T01,T01,T12,"Manage project execution to ensure adherence to budget, schedule, and scope.",Perform risk assessments to develop response strategies.,none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T14,task_dependency,medium,T01,T01,T14,"Manage project execution to ensure adherence to budget, schedule, and scope.","Identify, review, or select vendors or consultants to meet project needs.",none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T15,task_dependency,medium,T01,T01,T15,"Manage project execution to ensure adherence to budget, schedule, and scope.",Develop and manage annual budgets for information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T16,task_dependency,medium,T01,T01,T16,"Manage project execution to ensure adherence to budget, schedule, and scope.",Establish and execute a project communication plan.,none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T17,task_dependency,medium,T01,T01,T17,"Manage project execution to ensure adherence to budget, schedule, and scope.",Develop and manage work breakdown structure (WBS) of information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T18,task_dependency,medium,T01,T01,T18,"Manage project execution to ensure adherence to budget, schedule, and scope.","Monitor the performance of project team members, providing and documenting performance feedback.",none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T19,task_dependency,medium,T01,T01,T19,"Manage project execution to ensure adherence to budget, schedule, and scope.",Coordinate recruitment or selection of project personnel.,none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T20,task_dependency,medium,T01,T01,T20,"Manage project execution to ensure adherence to budget, schedule, and scope.","Assign duties, responsibilities, and spans of authority to project personnel.",none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T21,task_dependency,medium,T01,T01,T21,"Manage project execution to ensure adherence to budget, schedule, and scope.",Negotiate with project stakeholders or suppliers to obtain resources or materials.,none,0,0.68,0,low_confidence|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T02_T01,task_dependency,medium,T02,T02,T01,Confer with project personnel to identify and resolve problems.,"Manage project execution to ensure adherence to budget, schedule, and scope.",informs,2,0.79,1,thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T03,task_dependency,medium,T02,T02,T03,Confer with project personnel to identify and resolve problems.,Monitor or track project milestones and deliverables.,none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T04,task_dependency,medium,T02,T02,T04,Confer with project personnel to identify and resolve problems.,"Submit project deliverables, ensuring adherence to quality standards.",none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T05,task_dependency,medium,T02,T02,T05,Confer with project personnel to identify and resolve problems.,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T07,task_dependency,medium,T02,T02,T07,Confer with project personnel to identify and resolve problems.,Schedule and facilitate meetings related to information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T08,task_dependency,medium,T02,T02,T08,Confer with project personnel to identify and resolve problems.,Direct or coordinate activities of project personnel.,none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T09,task_dependency,medium,T02,T02,T09,Confer with project personnel to identify and resolve problems.,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T10,task_dependency,medium,T02,T02,T10,Confer with project personnel to identify and resolve problems.,Identify need for initial or supplemental project resources.,none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T11,task_dependency,medium,T02,T02,T11,Confer with project personnel to identify and resolve problems.,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T12,task_dependency,medium,T02,T02,T12,Confer with project personnel to identify and resolve problems.,Perform risk assessments to develop response strategies.,none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T14,task_dependency,medium,T02,T02,T14,Confer with project personnel to identify and resolve problems.,"Identify, review, or select vendors or consultants to meet project needs.",none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T15,task_dependency,medium,T02,T02,T15,Confer with project personnel to identify and resolve problems.,Develop and manage annual budgets for information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T16,task_dependency,medium,T02,T02,T16,Confer with project personnel to identify and resolve problems.,Establish and execute a project communication plan.,none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T17,task_dependency,medium,T02,T02,T17,Confer with project personnel to identify and resolve problems.,Develop and manage work breakdown structure (WBS) of information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T18,task_dependency,medium,T02,T02,T18,Confer with project personnel to identify and resolve problems.,"Monitor the performance of project team members, providing and documenting performance feedback.",none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T19,task_dependency,medium,T02,T02,T19,Confer with project personnel to identify and resolve problems.,Coordinate recruitment or selection of project personnel.,none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T20,task_dependency,medium,T02,T02,T20,Confer with project personnel to identify and resolve problems.,"Assign duties, responsibilities, and spans of authority to project personnel.",none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T21,task_dependency,medium,T02,T02,T21,Confer with project personnel to identify and resolve problems.,Negotiate with project stakeholders or suppliers to obtain resources or materials.,none,0,0.68,0,low_confidence|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T03_T01,task_dependency,medium,T03,T03,T01,Monitor or track project milestones and deliverables.,"Manage project execution to ensure adherence to budget, schedule, and scope.",none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T02,task_dependency,medium,T03,T03,T02,Monitor or track project milestones and deliverables.,Confer with project personnel to identify and resolve problems.,none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T05,task_dependency,medium,T03,T03,T05,Monitor or track project milestones and deliverables.,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T07,task_dependency,medium,T03,T03,T07,Monitor or track project milestones and deliverables.,Schedule and facilitate meetings related to information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T08,task_dependency,medium,T03,T03,T08,Monitor or track project milestones and deliverables.,Direct or coordinate activities of project personnel.,none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T09,task_dependency,medium,T03,T03,T09,Monitor or track project milestones and deliverables.,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T10,task_dependency,medium,T03,T03,T10,Monitor or track project milestones and deliverables.,Identify need for initial or supplemental project resources.,none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T11,task_dependency,medium,T03,T03,T11,Monitor or track project milestones and deliverables.,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T12,task_dependency,medium,T03,T03,T12,Monitor or track project milestones and deliverables.,Perform risk assessments to develop response strategies.,none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T14,task_dependency,medium,T03,T03,T14,Monitor or track project milestones and deliverables.,"Identify, review, or select vendors or consultants to meet project needs.",none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T15,task_dependency,medium,T03,T03,T15,Monitor or track project milestones and deliverables.,Develop and manage annual budgets for information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T16,task_dependency,medium,T03,T03,T16,Monitor or track project milestones and deliverables.,Establish and execute a project communication plan.,none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T17,task_dependency,medium,T03,T03,T17,Monitor or track project milestones and deliverables.,Develop and manage work breakdown structure (WBS) of information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T18,task_dependency,medium,T03,T03,T18,Monitor or track project milestones and deliverables.,"Monitor the performance of project team members, providing and documenting performance feedback.",none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T19,task_dependency,medium,T03,T03,T19,Monitor or track project milestones and deliverables.,Coordinate recruitment or selection of project personnel.,none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T20,task_dependency,medium,T03,T03,T20,Monitor or track project milestones and deliverables.,"Assign duties, responsibilities, and spans of authority to project personnel.",none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T21,task_dependency,medium,T03,T03,T21,Monitor or track project milestones and deliverables.,Negotiate with project stakeholders or suppliers to obtain resources or materials.,none,0,0.68,0,low_confidence|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T04_T01,task_dependency,medium,T04,T04,T01,"Submit project deliverables, ensuring adherence to quality standards.","Manage project execution to ensure adherence to budget, schedule, and scope.",none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T02,task_dependency,medium,T04,T04,T02,"Submit project deliverables, ensuring adherence to quality standards.",Confer with project personnel to identify and resolve problems.,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T03,task_dependency,medium,T04,T04,T03,"Submit project deliverables, ensuring adherence to quality standards.",Monitor or track project milestones and deliverables.,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T05,task_dependency,medium,T04,T04,T05,"Submit project deliverables, ensuring adherence to quality standards.","Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T06,task_dependency,medium,T04,T04,T06,"Submit project deliverables, ensuring adherence to quality standards.","Initiate, review, or approve modifications to project plans.",none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T07,task_dependency,medium,T04,T04,T07,"Submit project deliverables, ensuring adherence to quality standards.",Schedule and facilitate meetings related to information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T08,task_dependency,medium,T04,T04,T08,"Submit project deliverables, ensuring adherence to quality standards.",Direct or coordinate activities of project personnel.,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T09,task_dependency,medium,T04,T04,T09,"Submit project deliverables, ensuring adherence to quality standards.",Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T10,task_dependency,medium,T04,T04,T10,"Submit project deliverables, ensuring adherence to quality standards.",Identify need for initial or supplemental project resources.,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T11,task_dependency,medium,T04,T04,T11,"Submit project deliverables, ensuring adherence to quality standards.","Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T12,task_dependency,medium,T04,T04,T12,"Submit project deliverables, ensuring adherence to quality standards.",Perform risk assessments to develop response strategies.,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T14,task_dependency,medium,T04,T04,T14,"Submit project deliverables, ensuring adherence to quality standards.","Identify, review, or select vendors or consultants to meet project needs.",none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T15,task_dependency,medium,T04,T04,T15,"Submit project deliverables, ensuring adherence to quality standards.",Develop and manage annual budgets for information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T16,task_dependency,medium,T04,T04,T16,"Submit project deliverables, ensuring adherence to quality standards.",Establish and execute a project communication plan.,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T17,task_dependency,medium,T04,T04,T17,"Submit project deliverables, ensuring adherence to quality standards.",Develop and manage work breakdown structure (WBS) of information technology projects.,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T18,task_dependency,medium,T04,T04,T18,"Submit project deliverables, ensuring adherence to quality standards.","Monitor the performance of project team members, providing and documenting performance feedback.",none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T19,task_dependency,medium,T04,T04,T19,"Submit project deliverables, ensuring adherence to quality standards.",Coordinate recruitment or selection of project personnel.,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T20,task_dependency,medium,T04,T04,T20,"Submit project deliverables, ensuring adherence to quality standards.","Assign duties, responsibilities, and spans of authority to project personnel.",none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T04_T21,task_dependency,medium,T04,T04,T21,"Submit project deliverables, ensuring adherence to quality standards.",Negotiate with project stakeholders or suppliers to obtain resources or materials.,none,0,0.68,0,low_confidence|thin_evidence,60.0,62.5,14.28,8.57,,,,,
dependency_T05_T01,task_dependency,medium,T05,T05,T01,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.","Manage project execution to ensure adherence to budget, schedule, and scope.",none,0,0.68,0,low_confidence|thin_evidence,60.0,75.0,20.65,12.39,,,,,
