source_task_id,target_task_id,relation_type,dependency_strength,confidence,weight,evidence_chunk_ids,justification
T21,T01,enables,3,0.84,0.63,portfolio_p025_c14|program_p115_c50,Negotiated resources and commitments unlock execution.
T21,T10,informs,2,0.72,0.36,portfolio_p063_c38,Negotiation outcomes refine resource needs and feasibility.
T07,T02,enables,2,0.75,0.375,evm_p108_c65,Meetings create the venue for issue identification and resolution.
T07,T13,enables,2,0.73,0.365,evm_p108_c65,Meetings produce updates that often feed formal status reports.
T02,T06,informs,3,0.89,0.6675,risk_practice_p031_c18|evm_p033_c21,Resolved and unresolved issues often trigger plan changes.
T02,T13,informs,3,0.87,0.6525,evm_p033_c21,Issue trends are part of project status narratives.
T02,T01,informs,2,0.79,0.395,program_p142_c63,Problem resolution changes execution choices and pacing.
T03,T13,informs,4,0.95,0.95,evm_p033_c21|evm_p108_c65,Milestone and deliverable status are core report inputs.
T03,T06,informs,3,0.88,0.66,evm_p033_c21,Tracking reveals slippage that can require plan updates.
T03,T04,enables,3,0.86,0.645,scheduling_pg_p069_c30,Deliverable submission typically follows milestone completion.
T08,T01,enables,4,0.91,0.91,program_p142_c63,Personnel coordination is a direct enabler of execution.
T08,T18,enables,3,0.82,0.615,program_p142_c63,Directed work creates the basis for later performance feedback.
T18,T08,informs,2,0.76,0.38,portfolio_p063_c38,Feedback informs how personnel are coordinated next.
T18,T19,informs,2,0.71,0.355,portfolio_p063_c38,Performance observations can imply a staffing or replacement need.
T20,T08,enables,4,0.89,0.89,wbs_pg_p018_c06|portfolio_p063_c38,Assigned responsibilities operationalize coordination.
T20,T01,enables,3,0.87,0.6525,wbs_pg_p018_c06,Execution depends on clear responsibility and authority.
T20,T18,informs,2,0.75,0.375,wbs_pg_p018_c06,Performance feedback depends on defined roles and expectations.
T06,T11,changes,4,0.95,0.95,evm_p043_c25,Plan changes flow back into the integrated plan itself.
T06,T01,changes,3,0.88,0.66,evm_p043_c25|evm_p041_c24,Approved modifications alter execution conditions.
T06,T03,changes,2,0.8,0.4,evm_p043_c25,Plan changes can alter what milestones are monitored.
T01,T03,informs,3,0.85,0.6375,evm_p033_c21,Actual execution progress is what milestone tracking reads.
T01,T04,enables,3,0.86,0.645,benefits_pg_p001_c01,Execution produces the work that can be submitted as deliverables.
T01,T13,informs,3,0.87,0.6525,evm_p033_c21,Execution outcomes generate reportable status and trend data.
T01,T06,informs,2,0.79,0.395,evm_p033_c21,Execution variance can trigger change review.
T13,T06,informs,3,0.84,0.63,evm_p033_c21|evm_p108_c65,Formal reports escalate issues and variances into change decisions.
T13,T16,communicates_with,2,0.76,0.38,evm_p108_c65,Status reporting and communication planning reinforce each other.
T04,T13,informs,2,0.78,0.39,benefits_pg_p001_c01|evm_p033_c21,Delivered outputs affect status narratives and perceived progress.
